date,adj close,close,high,low,open,volume,symbol
2026-01-12,184.71470642089844,184.94000244140625,187.1199951171875,183.02000427246094,183.22000122070312,137968500,NVDA
2026-01-13,185.58364868164062,185.80999755859375,188.11000061035156,183.39999389648438,185.0,160128900,NVDA
2026-01-14,182.91688537597656,183.13999938964844,184.4600067138672,180.8000030517578,184.32000732421875,159586100,NVDA
2026-01-15,186.8221435546875,187.0500030517578,189.6999969482422,186.3300018310547,186.5,206188600,NVDA
2026-01-16,186.0031280517578,186.22999572753906,190.44000244140625,186.0800018310547,189.0800018310547,187967200,NVDA
2026-01-20,177.8530731201172,178.07000732421875,182.3800048828125,177.61000061035156,181.89999389648438,223345300,NVDA
2026-01-21,183.09669494628906,183.32000732421875,185.3800048828125,178.39999389648438,179.0500030517578,200381000,NVDA
2026-01-22,184.6148223876953,184.83999633789062,186.1699981689453,183.92999267578125,184.75,139636600,NVDA
2026-01-23,187.44137573242188,187.6699981689453,189.60000610351562,186.82000732421875,187.5,142748100,NVDA
2026-01-26,186.2428436279297,186.47000122070312,189.1199951171875,185.99000549316406,187.16000366210938,124799600,NVDA
2026-01-27,188.29034423828125,188.52000427246094,190.0,185.6999969482422,187.24000549316406,143711600,NVDA
2026-01-28,191.2866973876953,191.52000427246094,192.35000610351562,189.83999633789062,191.27000427246094,148552700,NVDA
2026-01-29,192.27548217773438,192.50999450683594,193.47999572753906,186.05999755859375,191.33999633789062,171764400,NVDA
2026-01-30,190.8971710205078,191.1300048828125,194.49000549316406,189.47000122070312,191.2100067138672,179489500,NVDA
2026-02-02,185.38389587402344,185.61000061035156,190.3000030517578,184.8800048828125,187.1999969482422,165794100,NVDA
2026-02-03,180.12030029296875,180.33999633789062,186.27000427246094,176.22999572753906,186.24000549316406,204019600,NVDA
2026-02-04,173.97779846191406,174.19000244140625,179.5800018310547,171.91000366210938,179.4600067138672,207014100,NVDA
2026-02-05,171.6706085205078,171.8800048828125,176.82000732421875,171.02999877929688,174.92999267578125,206312900,NVDA
